location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Wind Speed,Wind Direction,Shortwave Radiation
unit,°C,km/h,°,W/m²
level,2 m elevation corrected,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Shortwave Radiation
20200119T0000,0.4202454,9.227524,20.55603,0.0
20200119T0100,0.77024543,6.763786,25.201126,0.0
20200119T0200,0.080245405,3.8939953,33.690063,0.0
20200119T0300,-0.16975462,3.096837,35.53766,0.0
20200119T0400,-0.2697546,2.8116899,50.194427,0.0
20200119T0500,-0.47975457,2.0364676,44.999985,0.0
20200119T0600,-0.51975465,1.609969,26.565033,0.0
20200119T0700,-0.6697546,2.7416782,23.198593,0.0
20200119T0800,-0.14975458,4.452954,14.03624,9.0
20200119T0900,0.9602454,7.342588,11.309921,63.0
20200119T1000,1.9802454,8.825508,348.23172,112.0
20200119T1100,3.0002456,10.446206,1.9749298,176.0
20200119T1200,3.8002453,10.948973,9.462311,222.0
20200119T1300,3.8602452,12.015589,8.615646,170.0
20200119T1400,3.8002453,10.464798,3.9451752,117.0
20200119T1500,3.6602454,7.928178,357.39746,112.0
20200119T1600,3.2602453,7.9526596,354.8056,36.0
20200119T1700,2.2002454,8.669949,4.7636414,0.0
20200119T1800,2.0402455,7.342588,11.309921,0.0
20200119T1900,1.5002453,8.905908,14.03624,0.0
20200119T2000,1.2602453,8.891344,21.370605,0.0
20200119T2100,1.2602453,9.983106,25.640991,0.0
20200119T2200,2.3102455,9.511088,29.475876,0.0
20200119T2300,2.0802455,8.373386,25.463333,0.0
20200120T0000,2.1502454,7.8954163,24.227737,0.0
20200120T0100,2.0702453,10.00256,30.256424,0.0
20200120T0200,1.6102453,6.989936,34.508514,0.0
20200120T0300,1.1502454,7.928177,39.472458,0.0
20200120T0400,1.4302454,6.792466,32.005356,0.0
20200120T0500,1.6702454,8.049845,26.565033,0.0
20200120T0600,1.9902455,10.1887,32.005356,0.0
20200120T0700,2.2202454,10.739832,39.55966,0.0
20200120T0800,2.3002453,9.422101,43.451828,17.0
20200120T0900,2.9302454,10.691453,44.999985,79.0
20200120T1000,3.6702452,17.31746,46.684677,168.0
20200120T1100,4.650245,16.676977,57.33908,269.0
20200120T1200,5.270245,18.837322,63.924644,334.0
20200120T1300,5.750245,18.837322,63.924644,313.0
20200120T1400,5.920245,17.388409,62.90444,273.0
20200120T1500,5.420245,13.089354,58.495735,175.0
20200120T1600,4.0102453,10.086427,55.1755,56.0
20200120T1700,2.9702454,8.913181,46.636566,0.0
20200120T1800,1.8302454,8.669949,41.63353,0.0
20200120T1900,1.1802454,8.669949,41.63353,0.0
20200120T2000,0.4502454,7.653705,41.18593,0.0
