run_id,hour,Radiation,CO2,CO,PM10,PM25,CO2_Removed_g,CO_Removed_ug,PM10_Removed_ug,PM25_Removed_ug,O2_Produced_g
76,21,0.0,469.91569015890894,297.2148311323156,6.968094672500728,32.107128794974365,284.9494140953454,64198.40352458018,60204.3379704063,166443.35567314707,205.16357814864867
76,22,0.0,462.81395757330546,294.8404468958624,5.158381604545168,36.95538289461997,280.6883745439833,63685.53652950629,44568.41706327025,191576.70492570993,202.09562967166795
76,23,0.0,454.2498519347535,280.4091387404163,7.190199744852439,38.57666561212096,275.5499111608521,60568.37396792993,62123.325795525074,199981.43453323506,198.39593603581352
77,0,0.0,478.1520474418398,364.47165015982466,12.78778722715785,8.55947733096454,289.8912284651039,78725.87643452213,110486.48164264382,44372.33048372017,208.7216844948748
77,1,0.0,465.29520590114487,354.08686636124776,10.573249724607152,9.060847608353772,282.1771235406869,76482.76313402952,91352.8776206058,46971.434001705944,203.16752894929456
77,2,0.0,475.1168743530053,346.84056094252855,9.219406556953556,8.1982332756639,288.0701246118032,74917.56116358617,79655.67265207873,42499.64130104166,207.41048972049828
77,3,0.0,475.0635763793314,339.49847008319637,9.176871272651354,7.749749817883043,288.03814582759884,73331.6695379704,79288.1677957077,40174.703055905695,207.38746499587117
77,4,0.0,469.35303582072737,335.7535330279144,8.487949757391934,11.57322729137046,284.61182149243643,72522.76313402952,73335.88590386632,59995.61027846446,204.92051147455422
77,5,0.0,467.01430600477613,341.40980013245735,9.096000968612783,12.620439131208256,283.20858360286564,73744.5168286108,78589.44836881444,65424.356456183596,203.91018019406326
77,6,0.0,465.2990831122317,352.796773312534,9.52769465544159,12.314903531032675,282.17944986733903,76204.10303550735,82319.28182301534,63840.45990487338,203.1692039044841
77,7,0.0,462.1392689957838,364.7124821247946,12.373807667777417,13.095551517677055,280.2835613974703,78777.89613895565,106909.69824959688,67887.33906763785,201.8041642061786
77,8,1400.0,462.8256415103125,353.2505226283523,13.973657466256178,13.661811422346958,3220.695384906187,76302.1128877241,120732.40050845339,70822.83041344662,2318.9006771324543
77,9,1400.0,469.9777709213805,334.0151641171317,11.915604897582913,11.558835377340692,3224.986662552828,72147.27544930045,102950.82631511637,59921.002596134145,2321.990397038036
77,10,1400.0,466.0685719546164,323.56415152818806,14.691097730088822,10.127527467557904,3222.6411431727693,69889.85673008862,126931.08438796742,52501.10239182017,2320.3016230843937
77,11,1400.0,456.4773353943203,308.7349232851667,13.130497169903467,8.539307146848106,3216.8864012365916,66686.74342959601,113447.49554796595,44267.76824926058,2316.158208890346
77,12,1400.0,446.79752019268176,301.52857407881754,12.260756050261246,5.935583392299093,3211.0785121156086,65130.17200102459,105932.93227425717,30770.064305678497,2311.976528723238
77,13,0.0,442.4317725136665,302.21001907060736,10.501383320823274,4.39177247450277,268.4590635081999,65277.36411925119,90731.9518919131,22766.948507822355,193.29052572590393
77,14,0.0,445.4497754980418,301.645158643678,8.897446231968708,7.385976491666558,270.2698652988251,65155.35426703445,76873.93544420964,38288.902132799434,194.59430301515405
77,15,0.0,447.20363138347494,306.13995886261614,9.091365123321484,6.292861746412103,271.32217883008497,66126.23111432508,78549.39466549762,32622.195293400342,195.35196875766115
77,16,0.0,465.61170212583465,319.07318272687445,10.688687246450655,7.247251445801652,282.3670212755008,68919.80746900488,92350.25780933366,37569.75149503576,203.30425531836056
77,17,0.0,476.37034805783173,336.03571626865147,11.260392358077677,10.361526906006667,288.82220883469904,72583.71471402873,97289.78997379114,53714.155480738555,207.9519903609833
77,18,0.0,485.49740570770484,352.0600464378761,11.692573584522528,16.540279520960155,294.2984434246229,76044.97003058124,101023.83577027464,85744.80903665743,211.8948792657285
77,19,0.0,501.7482769470778,371.96371365188816,14.464544918041765,17.5520702650649,304.0489661682467,80344.16214880784,124973.66809188084,90989.93225409642,218.9152556411376
77,20,0.0,500.8854653779709,383.4245344502312,14.405155952107242,18.648210898915153,303.5312792267825,82819.69944124995,124460.54742620657,96672.32529997615,218.5425210432834
77,21,0.0,500.1412045425922,386.3594443579637,12.387722656367476,18.425008832963393,303.08472272555537,83453.63998132016,107029.923751015,95515.24579008222,218.22100036239985
77,22,0.0,494.8092813703662,387.98506012151046,10.734094356915996,16.11282236769268,299.88556882221974,83804.77298624627,92742.57524375421,83528.87115411884,215.9176095519982
77,23,0.0,496.0217707403877,374.0257224848978,9.651430038751844,15.753000397502472,300.61306244423264,80789.55605673794,83388.35553481594,81663.55406065281,216.4414049598475
78,0,0.0,472.4611461495847,163.7231689562224,27.950112731644396,15.665045044907373,286.4766876897508,35364.20449454404,241488.9740014076,81207.59351279982,206.26321513662057
78,1,0.0,466.59369357503965,157.3383851576455,25.361016779797954,15.64136178128466,282.9562161450238,33985.09119405143,219119.18497745434,81084.81947417966,203.72847562441714
78,2,0.0,469.5487609153377,146.09207973892626,22.91769887848699,15.567463877746786,284.7292565492026,31555.889223608076,198008.91831012763,80701.73274223933,205.00506471542587
78,3,0.0,466.15032882577975,142.74998887959407,22.667891131757592,13.190361058359565,282.6901972954679,30833.997597992326,195850.5793783856,68378.83172653598,203.5369420527369
78,4,0.0,467.39466978241705,135.00505182431215,24.005745649411146,12.435561003616161,283.4368018694502,29161.091194051423,207409.64241091232,64465.94824274618,204.07449734600416
78,5,0.0,465.26403096815784,136.6613189288551,22.534846597807523,11.028290342152209,282.1584185808947,29518.844888632706,194701.07460505702,57170.65713371705,203.15406137824417
78,6,0.0,471.17995524011076,156.04829210893175,22.334910778743577,12.696967219528256,285.70797314406644,33706.43109552926,192973.6291283445,65821.07806603448,205.70974066372784
78,7,0.0,462.49726976557463,159.9640009211923,25.38586664689752,11.45126585335628,280.4983618593448,34552.22419897754,219333.88782919454,59363.36218379895,201.95882053872825
78,8,119.0705998044503,462.58557767938464,152.50204142475005,23.6833121211883,11.062896831503252,530.5996061969763,32940.440947746014,204623.81672706694,57350.057174512855,382.03171646182295
78,9,1400.0,452.5336378679476,133.26668291352945,21.422435942077083,9.474080556269847,3214.5201827207684,28785.60350932236,185089.84653954598,49113.63360370288,2314.454531558953
78,10,0.0,442.32929668040896,122.81567032458582,22.156805700272354,7.879696849933277,268.3975780082454,26528.18479011054,191434.80125035316,40848.3484700541,193.24625616593667
78,11,0.0,426.0935426760659,107.98644208156446,23.5580245627686,8.504863816251305,258.65612560563955,23325.071489617927,203541.33222232072,44089.21402344676,186.23241043606046
78,12,0.0,418.28111668690156,102.47292292336407,19.8170436522949,8.442878560139663,253.96867001214093,22134.15135144664,171219.25715582792,43767.882455764004,182.85744240874146
78,13,1054.5714483619745,415.62383514939563,97.46153786700509,22.571380446180825,9.483931108042476,2466.974342649784,21051.692179273097,195016.72705500232,49164.69886409219,1776.2215267078443
78,14,778.4823985969515,422.8541511677178,100.8966774400757,26.78167642631801,8.02756451933789,1891.5255277542287,21793.68232705635,231393.6843233876,41614.89446824762,1361.8983799830446
78,15,549.5349683414307,428.20531380362553,101.39147765901384,25.907583646756194,7.561131938511215,1413.9466217991796,21900.559174346992,223841.52270797352,39196.90796924214,1018.0415676954093
78,16,1400.0,451.66030670691885,118.32470152327218,26.00010865920488,9.47265945653399,3213.996184024151,25558.13552902679,224640.93881553016,49106.2666226722,2314.0772524973886
78,17,1400.0,467.8441220333561,137.11452089929847,26.605078039542846,9.989677741594509,3223.7064732200133,29616.73651424847,229867.87426165017,51786.48941242593,2321.0686607184093
78,18,0.0,482.5976019501982,151.31156523427384,28.11983772650552,9.700784436375303,292.55856117011894,32683.298090603148,242955.39795700766,50288.86651816956,210.64216404248563
78,19,0.0,484.91004617400966,171.2152324482859,28.826978099829535,10.735699497999143,293.9460277044058,36982.49020882976,249065.09078252723,55653.86619762755,211.64113994717218
78,20,0.0,494.4958397336513,185.373962607016,29.413572873540932,10.243595715045757,299.6975038401908,40040.775923115456,254133.26962739363,53102.8001867972,215.78220276493735
